phase,fold,seed,config_id,candidate,uses_eeg,control_type,pairwise_c,pair_sample_rate,pair_cap,task,split,local_user_pair_gauc,local_pair_auc,local_user_macro_auc,local_context_macro_auc,local_pair_count,valid_context_count,valid_local_user_count,event_gauc,event_macro_auc,event_global_auc
V2-I,2,2030,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,same_user_same_session_pairwise_training,dev,0.648972602739726,0.648972602739726,0.6271147833647833,0.612269320185987,584,30,26,0.6187536075036075,0.6173322048322049,0.34545649608411116
V2-I,3,2030,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,same_user_same_session_pairwise_training,dev,0.6213592233009708,0.6213592233009708,0.6353763361311414,0.63809428996929,618,28,24,0.6148575201022753,0.6214577783327783,0.3610195561415074
V2-I,1,2026,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,same_user_same_session_pairwise_training,dev,0.6956521739130435,0.6956521739130435,0.6888575082325082,0.7150206830206831,598,35,28,0.6759011220951519,0.6727242020545593,0.419160013884068
V2-I,2,2026,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,same_user_same_session_pairwise_training,dev,0.6404109589041096,0.6404109589041096,0.6305567118067118,0.626125340708674,584,30,26,0.6058917297979798,0.6046229233729233,0.3374101491256303
V2-I,3,2026,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,same_user_same_session_pairwise_training,dev,0.6585760517799353,0.6585760517799353,0.6624415848909527,0.6491344502058788,618,28,24,0.6661673505204974,0.6657296098962765,0.36900314949095425
V2-I,1,2027,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,same_user_same_session_pairwise_training,dev,0.7073578595317725,0.7073578595317725,0.7268249574499576,0.7531022126022126,598,35,28,0.6865766406064914,0.6838256502095789,0.42693509198195073
V2-I,2,2027,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,same_user_same_session_pairwise_training,dev,0.636986301369863,0.636986301369863,0.6085990398490398,0.5914339826839826,584,30,26,0.5990524666305916,0.5935680985680987,0.3252512248328149
V2-I,3,2027,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,same_user_same_session_pairwise_training,dev,0.616504854368932,0.616504854368932,0.6324553880597482,0.6052772558129701,618,28,24,0.6318676855390143,0.6380516397183064,0.39126931809858645
V2-I,1,2028,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,same_user_same_session_pairwise_training,dev,0.7107023411371237,0.7107023411371237,0.7297071380999954,0.7565984333127191,598,35,28,0.6951208244491827,0.6904557050092766,0.4321416174939257
V2-I,2,2028,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,same_user_same_session_pairwise_training,dev,0.6541095890410958,0.6541095890410958,0.6398453398453398,0.6333024691358023,584,30,26,0.620919237012987,0.6165990028490028,0.33283267174480563
V2-I,3,2028,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,same_user_same_session_pairwise_training,dev,0.6440129449838188,0.6440129449838188,0.6349778963797926,0.6429929693322551,618,28,24,0.6393755137636257,0.6418152102527103,0.3627774115578994
V2-I,1,2029,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,same_user_same_session_pairwise_training,dev,0.6906354515050167,0.6906354515050167,0.6755261174011175,0.7033482443482443,598,35,28,0.6766914346018824,0.672606636088779,0.4200277681360639
V2-I,2,2029,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,same_user_same_session_pairwise_training,dev,0.6506849315068494,0.6506849315068494,0.6244311244311245,0.6013720538720541,584,30,26,0.5997071158008659,0.598564491064491,0.34788828094267427
V2-I,3,2029,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,same_user_same_session_pairwise_training,dev,0.6715210355987055,0.6715210355987055,0.6883098248023428,0.6904805544984116,618,28,24,0.6840745307528525,0.694954385891886,0.35043580165531385
V2-I,1,2030,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,same_user_same_session_pairwise_training,dev,0.7090301003344481,0.7090301003344481,0.7041512389726675,0.7305981584553013,598,35,28,0.6890971549180503,0.6873230820105819,0.4178410274210344
V2-I,2,2030,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,same_user_same_session_pairwise_training,dev,0.648972602739726,0.648972602739726,0.6280152717652718,0.6170312249478916,584,30,26,0.6169814213564213,0.6153550153550152,0.3335479025855595
V2-I,3,2030,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,same_user_same_session_pairwise_training,dev,0.6326860841423948,0.6326860841423948,0.6358529667643444,0.6441413249448963,618,28,24,0.6398688723863548,0.6431957432999099,0.35717424741814985
V2-I,1,2026,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.7123745819397993,0.7123745819397993,0.724415970933828,0.747588332302618,598,35,28,0.7075219142383321,0.7063942357245928,0.42037486983686223
V2-I,2,2026,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6352739726027398,0.6352739726027398,0.628180846930847,0.6211562049062049,584,30,26,0.6068454635642136,0.605826812076812,0.3278618174015664
V2-I,3,2026,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6650485436893204,0.6650485436893204,0.6713349040474298,0.6530564508243079,618,28,24,0.6761234297947585,0.6767448716407051,0.3738372518860324
V2-I,1,2027,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.7307692307692307,0.7307692307692307,0.746295093795094,0.7736233766233767,598,35,28,0.7307001787598801,0.7307081658420944,0.43134328358208956
V2-I,2,2027,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6386986301369864,0.6386986301369864,0.6235093610093612,0.6144620811287478,584,30,26,0.6050869182900434,0.6018482443482444,0.3207452705360655
V2-I,3,2027,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6359223300970874,0.6359223300970874,0.6471794854731517,0.6328564160707019,618,28,24,0.6521389934851474,0.6566173178673179,0.4002417051197539
V2-I,1,2028,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.725752508361204,0.725752508361204,0.746137308458737,0.7695288943860373,598,35,28,0.7242681613577137,0.7235508572115714,0.4349531412703922
V2-I,2,2028,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.660958904109589,0.660958904109589,0.6519307081807082,0.6451785714285715,584,30,26,0.630915404040404,0.6295780608280608,0.32957837141937557
