candidate,score_variant,uses_eeg,control_type,variant_family,power,base_weight,seed_count,mean_protocol_gauc,std_protocol_gauc,mean_protocol_macro_user_auc,mean_protocol_global_auc,mean_event_transfer_gauc,mean_event_transfer_macro_user_auc,mean_event_transfer_global_auc,seed_beats_current_champion_rate,seed_hits_0p8_rate
V2H-local-H2_E0,margin_power0p3_base0p1,False,H2_E0_non_eeg,fine_power_base_grid,0.3,0.1,5,0.6102187662430698,0.009990194148367887,0.6204985979894759,0.6102187662430698,0.6014376114687784,0.605578989169267,0.6254510772042504,0.2,0.0
V2H-local-H2_E0,margin_power0p25_base0p075,False,H2_E0_non_eeg,fine_power_base_grid,0.25,0.075,5,0.6092389395397138,0.009137901730763183,0.6192090068003966,0.6092389395397138,0.5998146919694352,0.6040441033833891,0.6245971231295924,0.2,0.0
V2H-local-H2_E0,margin_power0p1_base0p025,False,H2_E0_non_eeg,fine_power_base_grid,0.1,0.025,5,0.6085836727558858,0.009148138264956222,0.6187560428540114,0.6085836727558858,0.599263795040782,0.6035442166225897,0.6235893815106188,0.2,0.0
V2H-local-H2_E0,margin_power0p35_base0p1,False,H2_E0_non_eeg,fine_power_base_grid,0.35,0.1,5,0.6081449575852163,0.009387591556023204,0.6187009226081799,0.6081449575852163,0.599153716051696,0.6035617344149091,0.6237554977301494,0.2,0.0
V2H-local-H2_E0,margin_power0p2_base0p05,False,H2_E0_non_eeg,fine_power_base_grid,0.2,0.05,5,0.6073692551642613,0.00911640086117328,0.6179491128249375,0.6073692551642613,0.5985112507830647,0.602820860576813,0.6231266628464842,0.2,0.0
V2H-local-H2_E0,margin_power0p3_base0p075,False,H2_E0_non_eeg,fine_power_base_grid,0.3,0.075,5,0.6071400093379195,0.008894054336480538,0.6175694842298485,0.6071400093379195,0.598246203561502,0.6025581950016474,0.6227537041362876,0.2,0.0
V2H-local-H2_E0,margin_power0p5_base0p15,False,H2_E0_non_eeg,fine_power_base_grid,0.5,0.15,5,0.6061269100565202,0.008875686277542571,0.6159757072622463,0.6061269100565202,0.5969918694595789,0.6011119752161418,0.6236756562396015,0.2,0.0
V2H-local-H2_E0,margin_power0p35_base0p075,False,H2_E0_non_eeg,fine_power_base_grid,0.35,0.075,5,0.6059076859123985,0.008499400687759536,0.6161315716176826,0.6059076859123985,0.597599589965004,0.6020053862583625,0.6212802403512085,0.2,0.0
V2H-local-H2_E0,margin_power0p4_base0p1,False,H2_E0_non_eeg,fine_power_base_grid,0.4,0.1,5,0.6057781639171105,0.008530449120617638,0.6161101104399715,0.6057781639171105,0.5968559873135433,0.6010357276468388,0.6223877511021583,0.2,0.0
V2H-local-H2_E0,margin_power0p25_base0p05,False,H2_E0_non_eeg,reference_score_family,0.25,0.05,5,0.605343190042676,0.007921038701559233,0.615442451202685,0.605343190042676,0.5973670201146637,0.6017188947149265,0.6211391444974227,0.2,0.0
V2H-local-H2_E0,margin_power0p15_base0p025,False,H2_E0_non_eeg,fine_power_base_grid,0.15,0.025,5,0.6041314449820149,0.008652680642855461,0.6141296281014849,0.6041314449820149,0.5959135149668954,0.600157930399994,0.6203576815771368,0.2,0.0
V2H-local-H2_E0,margin_power0p5_base0p1,False,H2_E0_non_eeg,fine_power_base_grid,0.5,0.1,5,0.6041314449820148,0.008618861330398497,0.6139308538861956,0.6041314449820148,0.5959672001136309,0.6002177988457751,0.6204669684537443,0.2,0.0
V2H-local-H2_E0,margin_power0p4_base0p075,False,H2_E0_non_eeg,fine_power_base_grid,0.4,0.075,5,0.6037952596145753,0.008160561235538747,0.6138490528609424,0.6037952596145753,0.5956692932285038,0.5999134614283423,0.6203377422003299,0.2,0.0
V2H-local-H2_E0,margin_power0p3_base0p05,False,H2_E0_non_eeg,fine_power_base_grid,0.3,0.05,5,0.6025709537819439,0.008046576029254265,0.6121973435761137,0.6025709537819439,0.5943060941348943,0.598475367482312,0.6198819511965675,0.0,0.0
V2H-local-H2_E0,margin_power0p5_base0p075,False,H2_E0_non_eeg,fine_power_base_grid,0.5,0.075,5,0.6020064579122213,0.007732311258359148,0.6109247412457306,0.6020064579122213,0.5928082317405521,0.5968906065642177,0.6190004587788897,0.0,0.0
V2H-local-H2_E0,margin_power0p4_base0p05,False,H2_E0_non_eeg,fine_power_base_grid,0.4,0.05,5,0.6019031262261456,0.007929253206157397,0.610944630564231,0.6019031262261456,0.5928106607653693,0.5969196041319057,0.6183522312173144,0.0,0.0
V2H-local-H2_E0,margin_power0p2_base0p025,False,H2_E0_non_eeg,fine_power_base_grid,0.2,0.025,5,0.6014392895115355,0.008154559525529202,0.6105028502735945,0.6014392895115355,0.5922924982388537,0.5964106495356496,0.6186927244999226,0.0,0.0
V2H-local-H2_E0,margin_power0p35_base0p05,False,H2_E0_non_eeg,fine_power_base_grid,0.35,0.05,5,0.6013430400942905,0.00832387846737069,0.6105031252411315,0.6013430400942905,0.592499001148948,0.5965797798248196,0.6189913364670503,0.0,0.0
V2H-local-H2_E0,margin_power0p25_base0p025,False,H2_E0_non_eeg,fine_power_base_grid,0.25,0.025,5,0.6003533251499273,0.008058042018180462,0.6093159691225213,0.6003533251499273,0.5907907553083227,0.5949695258078195,0.617702690754919,0.0,0.0
V2H-local-H2_E0,margin_power0p5_base0p05,False,H2_E0_non_eeg,fine_power_base_grid,0.5,0.05,5,0.5997888292802048,0.007925524547103449,0.6082950986998285,0.5997888292802048,0.589573342538671,0.5936858852493773,0.6173987176328701,0.0,0.0
V2H-local-H2_E0,sqrt_margin_eeg_base0p05,False,H2_E0_non_eeg,reference_score_family,0.5,0.05,5,0.5997888292802048,0.007925524547103449,0.6082950986998285,0.5997888292802048,0.589573342538671,0.5936858852493773,0.6173987176328701,0.0,0.0
V2H-local-H2_E0,margin_power0p3_base0p025,False,H2_E0_non_eeg,fine_power_base_grid,0.3,0.025,5,0.5993312729515798,0.007574759063446042,0.6086925860002393,0.5993312729515798,0.5899732884541995,0.5943165717292701,0.6170482606000267,0.0,0.0
V2H-local-H2_E0,margin_power0p35_base0p025,False,H2_E0_non_eeg,fine_power_base_grid,0.35,0.025,5,0.5988170201697381,0.008674879696902405,0.6072007750934542,0.5988170201697381,0.5891573276305428,0.5933307583069488,0.616602446556697,0.0,0.0
V2H-local-H2_E0,margin_power0p5_base0p025,False,H2_E0_non_eeg,fine_power_base_grid,0.5,0.025,5,0.598794704597974,0.008020123715926981,0.6068080528325304,0.598794704597974,0.5888822920741725,0.5929628968914684,0.6159441043196113,0.0,0.0
V2H-local-H2_E0,margin_power0p4_base0p025,False,H2_E0_non_eeg,fine_power_base_grid,0.4,0.025,5,0.598244506707126,0.007889341931776227,0.6062924663099994,0.598244506707126,0.5885312820468989,0.5925400681402666,0.6163715529045719,0.0,0.0
V2H-local-H2_E0,v2n_eeg_base_0p05,False,H2_E0_non_eeg,reference_score_family,1.0,0.05,5,0.5978013817985889,0.007405435905639908,0.6045729800784256,0.5978013817985889,0.5878096276804854,0.5911075511422734,0.6159457941276025,0.0,0.0
V2H-local-H2_E0,margin_power0p15_base0p0,False,H2_E0_non_eeg,fine_power_base_grid,0.15,0.0,5,0.596619301460949,0.008011982882051369,0.6026537669748192,0.596619301460949,0.587174204846623,0.589970373248151,0.6142817161627708,0.0,0.0
V2H-local-H2_E0,margin_power0p1_base0p0,False,H2_E0_non_eeg,fine_power_base_grid,0.1,0.0,5,0.596619301460949,0.008011982882051369,0.6026537669748192,0.596619301460949,0.587174204846623,0.589970373248151,0.6142817161627708,0.0,0.0
