phase,split_version,config_id,fold,seed,candidate,uses_eeg,control_type,pairwise_c,pair_sample_rate,pair_cap,alignment_train_only,score_alignment,transfer_gauc,transfer_macro_user_auc,transfer_global_auc,transfer_valid_user_count,local_user_pair_gauc,local_pair_auc,local_user_macro_auc,local_pair_count
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,True,user_train_center,0.5578216314935065,0.5545817608317608,0.42924578907842503,26,0.5753424657534246,0.5753424657534246,0.5617710992710993,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,True,user_train_zscore,0.5578216314935065,0.5545817608317608,0.4269928119300504,26,0.5753424657534246,0.5753424657534246,0.5617710992710993,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,True,user_center_alpha_0p5,0.5578216314935065,0.5545817608317608,0.37413725279834065,26,0.5753424657534246,0.5753424657534246,0.5617710992710993,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,True,user_center_alpha_1p0,0.5578216314935065,0.5545817608317608,0.42924578907842503,26,0.5753424657534246,0.5753424657534246,0.5617710992710993,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,True,user_center_alpha_1p5,0.5578216314935065,0.5545817608317608,0.5342774380431284,26,0.5753424657534246,0.5753424657534246,0.5617710992710993,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,True,user_center_alpha_2p0,0.5578216314935065,0.5545817608317608,0.5732575188642134,26,0.5753424657534246,0.5753424657534246,0.5617710992710993,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,True,user_center_rate_beta_0p5,0.5578216314935065,0.5545817608317608,0.5379966384150485,26,0.5753424657534246,0.5753424657534246,0.5617710992710993,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,True,user_center_rate_beta_1p0,0.5578216314935065,0.5545817608317608,0.6292600936952402,26,0.5753424657534246,0.5753424657534246,0.5617710992710993,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,True,user_center_rate_beta_1p5,0.5578216314935065,0.5545817608317608,0.6711010978793405,26,0.5753424657534246,0.5753424657534246,0.5617710992710993,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,True,user_center_rate_beta_2p0,0.5578216314935065,0.5545817608317608,0.6905196152058076,26,0.5753424657534246,0.5753424657534246,0.5617710992710993,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,raw,0.6169147952741703,0.6142728105228106,0.3293280406251118,26,0.6164383561643836,0.6164383561643836,0.6384615384615385,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,fold_train_zscore,0.6169147952741703,0.6142728105228106,0.3293280406251118,26,0.6164383561643836,0.6164383561643836,0.6384615384615385,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,user_train_center,0.6169147952741703,0.6142728105228106,0.43253585094589275,26,0.6164383561643836,0.6164383561643836,0.6384615384615385,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,user_train_zscore,0.6169147952741703,0.6142728105228106,0.4319279047312521,26,0.6164383561643836,0.6164383561643836,0.6384615384615385,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,user_center_alpha_0p5,0.6169147952741703,0.6142728105228106,0.34059292636698496,26,0.6164383561643836,0.6164383561643836,0.6384615384615385,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,user_center_alpha_1p0,0.6169147952741703,0.6142728105228106,0.43253585094589275,26,0.6164383561643836,0.6164383561643836,0.6384615384615385,584
