experiment_id,suite,fold,model,ablation,normalization,encoder,seed,train_count,dev_count,params,trainable_params,best_epoch,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,elapsed_seconds
G_ablation_roll2_ablation-E4_s1,ablation,roll2,ablation-E4,E4,global_train_zscore,mlp,1,2135,356,25082,25001,12,0.6290905708874459,0.6225647038147039,0.7186997103315096,0.5673195636021334,0.19349889375578816,0.03686012155991151,6.248198747634888
G_ablation_roll2_ablation-E4_s2,ablation,roll2,ablation-E4,E4,global_train_zscore,mlp,2,2135,356,25082,25001,8,0.5949744092712842,0.5942245254745255,0.6760361906805422,0.5902865604874387,0.20296994138386484,0.041140179274070064,4.840749740600586
G_ablation_roll2_ablation-E4_s3,ablation,roll2,ablation-E4,E4,global_train_zscore,mlp,3,2135,356,25082,25001,7,0.5994703733766233,0.600449272949273,0.6654150126953474,0.598517724895586,0.20583624937056416,0.06459144122893348,4.784357309341431
G_ablation_roll2_ablation-E4_s4,ablation,roll2,ablation-E4,E4,global_train_zscore,mlp,4,2135,356,25082,25001,1,0.5805096726190476,0.5833057220557221,0.5442906698136823,0.63213481199539,0.22048268076309013,0.04969111236735781,3.2293059825897217
G_ablation_roll2_ablation-E5_s0,ablation,roll2,ablation-E5,E5,global_train_zscore,mlp,0,2135,356,25082,25001,6,0.6136121257215008,0.61762617012617,0.6395236562600579,0.6148959371455118,0.21298955403883596,0.05150663367409804,4.295811176300049
G_ablation_roll2_ablation-E5_s1,ablation,roll2,ablation-E5,E5,global_train_zscore,mlp,1,2135,356,25082,25001,7,0.6197735164141414,0.6222566785066785,0.6674176590494583,0.6023788318233992,0.2080979811336723,0.07092716892477481,5.429125547409058
G_ablation_roll2_ablation-E5_s2,ablation,roll2,ablation-E5,E5,global_train_zscore,mlp,2,2135,356,25082,25001,6,0.6063275613275614,0.6077497039997041,0.6124879304795623,0.6164094824222052,0.21409194341591875,0.05379312936271532,4.565002918243408
G_ablation_roll2_ablation-E5_s3,ablation,roll2,ablation-E5,E5,global_train_zscore,mlp,3,2135,356,25082,25001,6,0.5905888122294373,0.5936056998556999,0.604727675857383,0.6223531229377849,0.21634628404911613,0.028673139084235147,4.769362926483154
G_ablation_roll2_ablation-E5_s4,ablation,roll2,ablation-E5,E5,global_train_zscore,mlp,4,2135,356,25082,25001,12,0.5939440160533911,0.5912559662559663,0.7087937631870687,0.5810488607401116,0.19830662117899284,0.0538993617480495,6.069650173187256
G_ablation_roll2_ablation-E6_s0,ablation,roll2,ablation-E6,E6,global_train_zscore,mlp,0,2135,356,25082,25001,7,0.6085239673520924,0.608943648943649,0.5967886135250152,0.6201756549617633,0.21557705683092437,0.05523491727863176,4.6519997119903564
G_ablation_roll2_ablation-E6_s1,ablation,roll2,ablation-E6,E6,global_train_zscore,mlp,1,2135,356,25082,25001,16,0.6232605068542569,0.6229464979464979,0.6751421521295998,0.5939188044017043,0.2047393182139445,0.050489817821195715,6.933192729949951
G_ablation_roll2_ablation-E6_s2,ablation,roll2,ablation-E6,E6,global_train_zscore,mlp,2,2135,356,25082,25001,8,0.6190148133116883,0.6190790690790691,0.5981117905804099,0.6189839605646199,0.21539919183201595,0.041499488034123386,4.875540018081665
G_ablation_roll2_ablation-E6_s3,ablation,roll2,ablation-E6,E6,global_train_zscore,mlp,3,2135,356,25082,25001,11,0.6027063041125541,0.6046479446479446,0.6174945463648392,0.6214781683980958,0.21616028923122135,0.05721242063786059,5.630133390426636
G_ablation_roll2_ablation-E6_s4,ablation,roll2,ablation-E6,E6,global_train_zscore,mlp,4,2135,356,25082,25001,8,0.5874627976190475,0.5903107078107078,0.5475807316811501,0.6317170438239605,0.22036606308091175,0.028450379970881123,4.817690372467041
G_ablation_roll2_ablation-E7_s0,ablation,roll2,ablation-E7,E7,global_train_zscore,mlp,0,2135,356,25082,25001,6,0.6083192415223666,0.6091337366337366,0.6592282659228266,0.5975979159312633,0.20613673143477906,0.027540124280461938,4.531669616699219
G_ablation_roll2_ablation-E7_s1,ablation,roll2,ablation-E7,E7,global_train_zscore,mlp,1,2135,356,25082,25001,7,0.6328813807720057,0.6316009453509454,0.7080070092622394,0.573550149174749,0.19625435538888478,0.03108890455875419,4.504258632659912
G_ablation_roll2_ablation-E7_s2,ablation,roll2,ablation-E7,E7,global_train_zscore,mlp,2,2135,356,25082,25001,5,0.6145359848484848,0.6165791615791616,0.6402388871008118,0.6063020777559424,0.20977291750521598,0.037763842678461404,3.8579232692718506
G_ablation_roll2_ablation-E7_s3,ablation,roll2,ablation-E7,E7,global_train_zscore,mlp,3,2135,356,25082,25001,7,0.6109450532106783,0.6101340788840789,0.709222901691521,0.5797656019454702,0.19813609022162398,0.0767546603685046,7.217050075531006
G_ablation_roll2_ablation-E7_s4,ablation,roll2,ablation-E7,E7,global_train_zscore,mlp,4,2135,356,25082,25001,10,0.6037729978354978,0.6054199966699967,0.7149805099595894,0.5731266565872865,0.19594065154860954,0.0551861145002558,5.676332950592041
