phase,protocol_id,iteration,selected_variant,reference_variant,weighted_delta_context_auc
V2-T,V2M-two_stage_user_local_reranker-v1,134,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0006451612903225849
V2-T,V2M-two_stage_user_local_reranker-v1,135,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0028493150684931533
V2-T,V2M-two_stage_user_local_reranker-v1,136,margin_power0p2_base0p025,margin_power0p25_base0p05,-0.0004334164048109196
V2-T,V2M-two_stage_user_local_reranker-v1,137,margin_power0p2_base0p025,margin_power0p25_base0p05,0.001051635292880431
V2-T,V2M-two_stage_user_local_reranker-v1,138,margin_power0p2_base0p025,margin_power0p25_base0p05,0.001241254795757167
V2-T,V2M-two_stage_user_local_reranker-v1,139,margin_power0p2_base0p025,margin_power0p25_base0p05,0.001209854817421911
V2-T,V2M-two_stage_user_local_reranker-v1,140,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0020215633423180585
V2-T,V2M-two_stage_user_local_reranker-v1,141,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0013081222499702742
V2-T,V2M-two_stage_user_local_reranker-v1,142,margin_power0p2_base0p025,margin_power0p25_base0p05,0.001130710085933968
V2-T,V2M-two_stage_user_local_reranker-v1,143,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0012312238364934806
V2-T,V2M-two_stage_user_local_reranker-v1,144,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0014017054082467067
V2-T,V2M-two_stage_user_local_reranker-v1,145,margin_power0p2_base0p025,margin_power0p25_base0p05,0.003089049850873457
V2-T,V2M-two_stage_user_local_reranker-v1,146,margin_power0p2_base0p025,margin_power0p25_base0p05,0.001345442314160784
V2-T,V2M-two_stage_user_local_reranker-v1,147,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0009800718719372766
V2-T,V2M-two_stage_user_local_reranker-v1,148,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0021836570509136907
V2-T,V2M-two_stage_user_local_reranker-v1,149,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0027313449142357706
V2-T,V2M-two_stage_user_local_reranker-v1,150,margin_power0p2_base0p025,margin_power0p25_base0p05,-0.0006803492459462488
V2-T,V2M-two_stage_user_local_reranker-v1,151,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0004450378282153995
V2-T,V2M-two_stage_user_local_reranker-v1,152,margin_power0p2_base0p025,margin_power0p25_base0p05,0.002180685358255453
V2-T,V2M-two_stage_user_local_reranker-v1,153,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0019024171888988393
V2-T,V2M-two_stage_user_local_reranker-v1,154,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0030374620317246076
V2-T,V2M-two_stage_user_local_reranker-v1,155,margin_power0p2_base0p025,margin_power0p25_base0p05,-0.00023926306974518302
V2-T,V2M-two_stage_user_local_reranker-v1,156,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0016525283684036612
V2-T,V2M-two_stage_user_local_reranker-v1,157,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0016981532583315675
V2-T,V2M-two_stage_user_local_reranker-v1,158,margin_power0p2_base0p025,margin_power0p25_base0p05,0.003006681514476617
V2-T,V2M-two_stage_user_local_reranker-v1,159,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0021922613175490518
V2-T,V2M-two_stage_user_local_reranker-v1,160,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0003365492483733458
V2-T,V2M-two_stage_user_local_reranker-v1,161,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0003413746017296374
V2-T,V2M-two_stage_user_local_reranker-v1,162,margin_power0p2_base0p025,margin_power0p25_base0p05,0.00021372088053003138
V2-T,V2M-two_stage_user_local_reranker-v1,163,margin_power0p2_base0p025,margin_power0p25_base0p05,0.002479990981850978
V2-T,V2M-two_stage_user_local_reranker-v1,164,margin_power0p2_base0p025,margin_power0p25_base0p05,0.001559714795008914
V2-T,V2M-two_stage_user_local_reranker-v1,165,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0019739897816999554
V2-T,V2M-two_stage_user_local_reranker-v1,166,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0009766684753119948
V2-T,V2M-two_stage_user_local_reranker-v1,167,margin_power0p2_base0p025,margin_power0p25_base0p05,0.001970659075979859
V2-T,V2M-two_stage_user_local_reranker-v1,168,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0028525787311729834
V2-T,V2M-two_stage_user_local_reranker-v1,169,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0014685828175810406
V2-T,V2M-two_stage_user_local_reranker-v1,170,margin_power0p2_base0p025,margin_power0p25_base0p05,-0.0006633499170812568
V2-T,V2M-two_stage_user_local_reranker-v1,171,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0008908685968819597
V2-T,V2M-two_stage_user_local_reranker-v1,172,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0013780431786862648
V2-T,V2M-two_stage_user_local_reranker-v1,173,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0032175746144458045
V2-T,V2M-two_stage_user_local_reranker-v1,174,margin_power0p2_base0p025,margin_power0p25_base0p05,-0.0005566069241901374
V2-T,V2M-two_stage_user_local_reranker-v1,175,margin_power0p2_base0p025,margin_power0p25_base0p05,0.00011539349180706434
V2-T,V2M-two_stage_user_local_reranker-v1,176,margin_power0p2_base0p025,margin_power0p25_base0p05,0.002512288367012561
V2-T,V2M-two_stage_user_local_reranker-v1,177,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0018648018648018672
V2-T,V2M-two_stage_user_local_reranker-v1,178,margin_power0p2_base0p025,margin_power0p25_base0p05,0.002287282708142727
V2-T,V2M-two_stage_user_local_reranker-v1,179,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0019832525341560176
V2-T,V2M-two_stage_user_local_reranker-v1,180,margin_power0p2_base0p025,margin_power0p25_base0p05,-0.00033545790003354617
V2-T,V2M-two_stage_user_local_reranker-v1,181,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0021810250817884415
V2-T,V2M-two_stage_user_local_reranker-v1,182,margin_power0p2_base0p025,margin_power0p25_base0p05,0.004586655018019005
