phase,protocol_id,split_version,score_variant,variant_family,power,base_weight,mean_protocol_gauc,mean_protocol_macro_user_auc,mean_event_transfer_gauc,mean_event_transfer_macro_user_auc,mean_event_transfer_global_auc,fold_seed_std_protocol_gauc,min_fold_mean_protocol_gauc,max_fold_mean_protocol_gauc,min_seed_mean_protocol_gauc,max_seed_mean_protocol_gauc,protocol_gap_to_top,within_tight_top_band,within_near_top_band,beats_all_controls,delta_protocol_gauc_vs_v2s_selected,fold_seed_win_rate_vs_v2s_selected,fold_mean_min_delta_vs_v2s_selected,seed_mean_min_delta_vs_v2s_selected,delta_protocol_gauc_vs_v2q_reference,fold_seed_win_rate_vs_v2q_reference,fold_mean_min_delta_vs_v2q_reference,seed_mean_min_delta_vs_v2q_reference,stability_priority_score
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p35_base0p0,fine_power_base_grid,0.35,0.0,0.6756975219324226,0.6780740753672072,0.6679187710470293,0.6682603549815852,0.5871749758487417,0.0353235905660768,0.6496575342465754,0.722742474916388,0.6684633970011015,0.6860186882442098,0.005671990427421614,False,False,True,-0.005671990427421584,0.26666666666666666,-0.010273972602739701,-0.009524138008065694,-0.003878645545986803,0.4,-0.00719178082191776,-0.00816210478110472,0.66713329095757
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p3_base0p0,fine_power_base_grid,0.3,0.0,0.6756975219324226,0.6780740753672072,0.6679187710470293,0.6682603549815852,0.5871749758487417,0.0353235905660768,0.6496575342465754,0.722742474916388,0.6684633970011015,0.6860186882442098,0.005671990427421614,False,False,True,-0.005671990427421584,0.26666666666666666,-0.010273972602739701,-0.009524138008065694,-0.003878645545986803,0.4,-0.00719178082191776,-0.00816210478110472,0.66713329095757
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p4_base0p0,fine_power_base_grid,0.4,0.0,0.6756975219324226,0.6780740753672072,0.6679187710470293,0.6682603549815852,0.5871749758487417,0.0353235905660768,0.6496575342465754,0.722742474916388,0.6684633970011015,0.6860186882442098,0.005671990427421614,False,False,True,-0.005671990427421584,0.26666666666666666,-0.010273972602739701,-0.009524138008065694,-0.003878645545986803,0.4,-0.00719178082191776,-0.00816210478110472,0.66713329095757
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p5_base0p0,fine_power_base_grid,0.5,0.0,0.6756975219324226,0.6780740753672072,0.6679187710470293,0.6682603549815852,0.5871749758487417,0.0353235905660768,0.6496575342465754,0.722742474916388,0.6684633970011015,0.6860186882442098,0.005671990427421614,False,False,True,-0.005671990427421584,0.26666666666666666,-0.010273972602739701,-0.009524138008065694,-0.003878645545986803,0.4,-0.00719178082191776,-0.00816210478110472,0.66713329095757
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p3_base0p15,fine_power_base_grid,0.3,0.15,0.6738658275290113,0.6763950996521715,0.6666070332398025,0.6691406714244017,0.5989243536851541,0.028002153414549,0.6513698630136986,0.7100334448160535,0.6628705545110073,0.6816128300563383,0.0075036848308329684,False,False,True,-0.00750368483083288,0.13333333333333333,-0.011036789297658856,-0.016882092678480953,-0.005710339949398098,0.26666666666666666,-0.010033444816053505,-0.012962825403193823,0.6669986225087073
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p2_base0p1,fine_power_base_grid,0.2,0.1,0.6736105248346701,0.6774022949963552,0.6687503007979961,0.6709861818443168,0.6002723934791473,0.027039298839100123,0.65,0.708695652173913,0.6622369743954483,0.6821435183475985,0.007758987525174121,False,False,True,-0.007758987525174048,0.13333333333333333,-0.012374581939799323,-0.016415073143824066,-0.005965642643739266,0.26666666666666666,-0.011371237458193972,-0.011857351441997843,0.6669840334582284
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p15_base0p075,fine_power_base_grid,0.15,0.075,0.6729389559826366,0.6769959455655175,0.6696991482574032,0.6719414656111085,0.6010098721401651,0.02651898074139711,0.6496575342465754,0.7070234113712374,0.6599491927523234,0.6810333677661086,0.008430556377207576,False,False,True,-0.008430556377207481,0.2,-0.014046822742474907,-0.018702854786948997,-0.0066372114957726994,0.26666666666666666,-0.013043478260869556,-0.013848485854910164,0.6665092107972873
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p1_base0p05,fine_power_base_grid,0.1,0.05,0.6719410900041707,0.6761903411904686,0.6704194157440605,0.6725576956846798,0.6017574677741285,0.026258513957833664,0.648972602739726,0.705685618729097,0.6599672320274331,0.6821481949678923,0.009428422355673538,False,False,True,-0.009428422355673323,0.2,-0.015384615384615375,-0.018684815511839203,-0.007635077474238542,0.2,-0.014381270903010024,-0.01383044657980037,0.6655764615147123
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p25_base0p15,fine_power_base_grid,0.25,0.15,0.6718189171601396,0.6762852443515268,0.6685084732301652,0.6708127474377474,0.6019007102133138,0.027072177607072263,0.6476027397260273,0.7066889632107023,0.6599224674426916,0.6804265129601813,0.009550595199704581,False,False,True,-0.009550595199704418,0.2,-0.014381270903010024,-0.018729580096580805,-0.0077572503182696375,0.2,-0.013377926421404673,-0.01387521116454197,0.6652508727583716
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p15_base0p1,fine_power_base_grid,0.15,0.1,0.6669643208838119,0.6719394105526701,0.6669887584772627,0.6688886188400078,0.6049108154316271,0.024967229337604372,0.6462328767123288,0.6989966555183946,0.6583758343597187,0.6749652892222152,0.014405191476032364,False,False,True,-0.014405191476032305,0.2,-0.022073578595317712,-0.02178657002162095,-0.012611846594597523,0.2,-0.02107023411371236,-0.01786730274633382,0.6609225135494108
