phase,protocol_id,split_version,fold,seed,candidate,uses_eeg,control_type,score_variant,variant_family,feature_set,pair_weighting,oof_meta,protocol_gauc,protocol_macro_user_auc,protocol_global_auc,local_context_macro_auc,local_pair_count,valid_context_count,valid_local_user_count,event_transfer_gauc,event_transfer_macro_user_auc,event_transfer_global_auc,event_valid_user_count
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2028,V2H-local-H2_E0,False,H2_E0_non_eeg,v2n_eeg_base_0p05,baseline_score_transform,none,none,False,0.6421404682274248,0.6577913852020997,0.6421404682274248,0.6614681508967223,598,35,28,0.6209587344661971,0.6199217944753661,0.632488719194724,28
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2028,V2H-local-H2_E0,False,H2_E0_non_eeg,v2n_eeg_base_0p05,baseline_score_transform,none,none,False,0.5547945205479452,0.5512654012654012,0.5547945205479452,0.5351046176046176,584,30,26,0.5469023944805194,0.5426157176157176,0.5887422665665344,26
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2028,V2H-local-H2_E0,False,H2_E0_non_eeg,v2n_eeg_base_0p05,baseline_score_transform,none,none,False,0.5647249190938511,0.593835493634094,0.5647249190938511,0.5766881696345981,618,28,24,0.5671116664997784,0.5860199060199061,0.5858785614883175,24
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2028,V2H-local-H2_E0,False,H2_E0_non_eeg,sqrt_margin_eeg_base0p05,baseline_score_transform,none,none,False,0.6421404682274248,0.6610145178895179,0.6421404682274248,0.664046657046657,598,35,28,0.6204009174904698,0.6186806414484985,0.6323498785144047,28
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2028,V2H-local-H2_E0,False,H2_E0_non_eeg,sqrt_margin_eeg_base0p05,baseline_score_transform,none,none,False,0.5565068493150684,0.5539388851888852,0.5565068493150684,0.5374216370049704,584,30,26,0.5469247159090909,0.543495855995856,0.5914243822193612,26
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2028,V2H-local-H2_E0,False,H2_E0_non_eeg,sqrt_margin_eeg_base0p05,baseline_score_transform,none,none,False,0.5647249190938511,0.5948290676209278,0.5647249190938511,0.5782557158450016,618,28,24,0.5674836430081185,0.5861346446763113,0.5881125027466491,24
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2028,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p25_base0p05,baseline_score_transform,none,none,False,0.6471571906354515,0.6646851528101531,0.6471571906354515,0.666983164983165,598,35,28,0.6246664943679869,0.623014541675256,0.6325581395348838,28
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2028,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p25_base0p05,baseline_score_transform,none,none,False,0.5633561643835616,0.5631269193769194,0.5633561643835616,0.5547629068462402,584,30,26,0.5545251623376624,0.5516765641765642,0.5947859671709044,26
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2028,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p25_base0p05,baseline_score_transform,none,none,False,0.56957928802589,0.6006793926437245,0.56957928802589,0.5777762184905042,618,28,24,0.5729073859318614,0.592541721395888,0.5934959349593496,24
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2028,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_score_equal_C0p25,oof_pair_meta,score_only,equal,True,0.6020066889632107,0.5857423330637616,0.6020066889632107,0.5626855287569573,598,35,28,0.5783101806982405,0.5767131132756134,0.5576535925026033,28
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2028,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_score_equal_C0p25,oof_pair_meta,score_only,equal,True,0.6113013698630136,0.6255517630517631,0.6113013698630136,0.6148035914702581,584,30,26,0.6068429834054834,0.6069538332038332,0.5946429210027536,26
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2028,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_score_equal_C0p25,oof_pair_meta,score_only,equal,True,0.598705501618123,0.6292703167551594,0.598705501618123,0.6109405739762882,618,28,24,0.60792386517911,0.6215459694626361,0.4886105617812935,24
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2028,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_score_context_balanced_C0p25,oof_pair_meta,score_only,context_balanced,True,0.6003344481605352,0.5976896119753263,0.6003344481605352,0.5689497010925582,598,35,28,0.5813081777260882,0.5781081864564008,0.5169385629989587,28
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2028,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_score_context_balanced_C0p25,oof_pair_meta,score_only,context_balanced,True,0.5976027397260274,0.595923520923521,0.5976027397260274,0.5792183742183742,584,30,26,0.5885752615440115,0.5857582695082695,0.5931766977792082,26
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2028,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_score_context_balanced_C0p25,oof_pair_meta,score_only,context_balanced,True,0.5792880258899676,0.6167870888583286,0.5792880258899676,0.5911026341383485,618,28,24,0.597054480096438,0.6149405070238404,0.605691056910569,24
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2028,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_equal_C0p25,oof_pair_meta,context_interactions,equal,True,0.6003344481605352,0.60133917008917,0.6003344481605352,0.579201023843881,598,35,28,0.5,0.5,0.5,28
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2028,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_equal_C0p25,oof_pair_meta,context_interactions,equal,True,0.6113013698630136,0.6326247826247826,0.6113013698630136,0.6287377745711079,584,30,26,0.5,0.5,0.5,26
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2028,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_equal_C0p25,oof_pair_meta,context_interactions,equal,True,0.5647249190938511,0.5755691315908035,0.5647249190938511,0.5282183491112062,618,28,24,0.5,0.5,0.5,24
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2028,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_balanced_C0p25,oof_pair_meta,context_interactions,context_balanced,True,0.6003344481605352,0.6005358893751751,0.6003344481605352,0.5709716209716209,598,35,28,0.5964602313109777,0.5918218752147324,0.5954876778896216,28
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2028,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_balanced_C0p25,oof_pair_meta,context_interactions,context_balanced,True,0.5856164383561644,0.5900143837643838,0.5856164383561644,0.5900230479397146,584,30,26,0.5654099025974026,0.563433880933881,0.5695025569502556,26
