experiment_id,model,seed,split_version,feature_set,params,best_epoch,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,checkpoint,prediction_file,elapsed_seconds
B_DeepFM_rollv2_s3,DeepFM,3,protocol_a_rollv2_train_dev,DeepFM,3817,12,0.5513735487511712,0.5653491531616531,0.7502014209331282,0.5749299638680945,0.18943371926852384,0.06480398723276475,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_DeepFM_rollv2_s3\predictions.csv,2.9510908126831055
B_DeepFM_rollv2_s4,DeepFM,4,protocol_a_rollv2_train_dev,DeepFM,3817,40,0.5784223837545516,0.5954000089416757,0.7222222222222222,0.682702554510833,0.20916623577358182,0.11552863925380166,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_DeepFM_rollv2_s4\predictions.csv,6.440386056900024
B_DCNv2_rollv2_s0,DCNv2,0,protocol_a_rollv2_train_dev,DCNv2,3500,38,0.5751101365611855,0.5856826506826507,0.7340511242950267,0.6587658147197293,0.20050240606680209,0.10683969261094739,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_DCNv2_rollv2_s0\predictions.csv,6.710090398788452
B_DCNv2_rollv2_s1,DCNv2,1,protocol_a_rollv2_train_dev,DCNv2,3500,34,0.5651186226361052,0.589010337656171,0.7367977733831392,0.6024915978982974,0.18896173054629178,0.08351928048106369,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_DCNv2_rollv2_s1\predictions.csv,5.582471609115601
B_DCNv2_rollv2_s2,DCNv2,2,protocol_a_rollv2_train_dev,DCNv2,3500,1,0.5433939797576162,0.5328366502324836,0.6481725628067091,0.6220929281151711,0.21546880624858317,0.11157644716259504,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_DCNv2_rollv2_s2\predictions.csv,1.4264025688171387
B_DCNv2_rollv2_s3,DCNv2,3,protocol_a_rollv2_train_dev,DCNv2,3500,59,0.5904028760672118,0.6038467550967551,0.7042408261920458,0.7192888031507917,0.21483398278811355,0.12691899994566896,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_DCNv2_rollv2_s3\predictions.csv,11.53139615058899
B_DCNv2_rollv2_s4,DCNv2,4,protocol_a_rollv2_train_dev,DCNv2,3500,1,0.48410593873880586,0.4742137954637955,0.6548377645938621,0.6364964261514822,0.2237217825268912,0.1511848488420159,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_DCNv2_rollv2_s4\predictions.csv,1.6836881637573242
B_DIN-noEEG_rollv2_s0,DIN-noEEG,0,protocol_a_rollv2_train_dev,DIN-noEEG,5410,28,0.5240872084403553,0.544547952047952,0.7399106423496667,0.6037205107220903,0.19358140146036756,0.0691687878808589,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_DIN-noEEG_rollv2_s0\predictions.csv,8.947334051132202
B_DIN-noEEG_rollv2_s1,DIN-noEEG,1,protocol_a_rollv2_train_dev,DIN-noEEG,5410,35,0.5581667652471848,0.57019920665754,0.7383175858785616,0.6101435331093391,0.19472015340449778,0.09500284106549334,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_DIN-noEEG_rollv2_s1\predictions.csv,9.139919519424438
B_DIN-noEEG_rollv2_s2,DIN-noEEG,2,protocol_a_rollv2_train_dev,DIN-noEEG,5410,22,0.5524401880171111,0.5745280915072581,0.7586061671427525,0.5845964339506371,0.18310280095199116,0.07206977139284912,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_DIN-noEEG_rollv2_s2\predictions.csv,7.376674175262451
B_DIN-noEEG_rollv2_s3,DIN-noEEG,3,protocol_a_rollv2_train_dev,DIN-noEEG,5410,19,0.5234014625623017,0.5462598551140218,0.7492492492492493,0.6260868387577107,0.18594523290507164,0.05614340897252995,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_DIN-noEEG_rollv2_s3\predictions.csv,6.8139808177948
B_DIN-noEEG_rollv2_s4,DIN-noEEG,4,protocol_a_rollv2_train_dev,DIN-noEEG,5410,24,0.5280773422381814,0.548371848059348,0.7457701604043068,0.5999004104994505,0.18781211143545776,0.08845138215526618,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_DIN-noEEG_rollv2_s4\predictions.csv,7.560953378677368
B_TimeAwareGRU-noEEG_rollv2_s0,TimeAwareGRU-noEEG,0,protocol_a_rollv2_train_dev,TimeAwareGRU-noEEG,5714,66,0.6233534336681189,0.6444353062061395,0.6581703654874387,0.9834967803584858,0.2718252536119718,0.23481178493275884,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_TimeAwareGRU-noEEG_rollv2_s0\predictions.csv,32.382174253463745
B_TimeAwareGRU-noEEG_rollv2_s1,TimeAwareGRU-noEEG,1,protocol_a_rollv2_train_dev,TimeAwareGRU-noEEG,5714,1,0.5135850454906399,0.5232605126355127,0.6708049512927562,0.666706233857849,0.23335910728378573,0.16460614428132853,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_TimeAwareGRU-noEEG_rollv2_s1\predictions.csv,4.446401119232178
B_TimeAwareGRU-noEEG_rollv2_s2,TimeAwareGRU-noEEG,2,protocol_a_rollv2_train_dev,TimeAwareGRU-noEEG,5714,1,0.4785691096005781,0.45902284058534065,0.6436314363143633,0.6327450707202581,0.22037207926355654,0.11647861085686027,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_TimeAwareGRU-noEEG_rollv2_s2\predictions.csv,5.190267562866211
B_TimeAwareGRU-noEEG_rollv2_s3,TimeAwareGRU-noEEG,3,protocol_a_rollv2_train_dev,TimeAwareGRU-noEEG,5714,42,0.6100703298255746,0.6305979976813311,0.7033985204716912,0.6679488057628077,0.2073278314274897,0.14706872613789043,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_TimeAwareGRU-noEEG_rollv2_s3\predictions.csv,22.33124566078186
B_TimeAwareGRU-noEEG_rollv2_s4,TimeAwareGRU-noEEG,4,protocol_a_rollv2_train_dev,TimeAwareGRU-noEEG,5714,40,0.598232148581799,0.6205583845167179,0.6898483849703362,0.6785853181182679,0.22025508276125136,0.154695050417203,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_TimeAwareGRU-noEEG_rollv2_s4\predictions.csv,21.635671377182007
